Harmonic,Period,Power,Relative Power
Main Harmonic,0.15471517796680068,0.004964410704536328,1.0
Harmonic 1,0.07733829903602789,0.0010713644985393914,0.21580899774476978
Harmonic 1,0.07028219340849799,0.0012286623721790497,0.24749410258428764
Harmonic 2,0.055227928380507586,0.0012223990517762698,0.24623245829747295
Harmonic 2,0.05155458079415989,0.0013577838121404868,0.2735035219587664
