Harmonic,Period,Power,Relative Power
Main Harmonic,0.773344454290977,0.005826519037898155,1.0
Harmonic 1,0.38688004539446,0.005095979391750833,0.8746181654268043
Harmonic 2,0.2579662451961104,0.003982066424664806,0.6834383272008132
Harmonic 3,0.19322222824717006,0.004623712770868949,0.7935634880439516
Harmonic 4,0.15462920453471066,0.0027631093644415548,0.4742298697505522
Harmonic 5,0.12888625403080647,0.002407836397681125,0.4132547035407478
Harmonic 6,0.11049143883641926,0.002094044356692952,0.35939886973206436
Harmonic 7,0.09662408223829969,0.002613433128193788,0.44854107764771883
