Harmonic,Period,Power,Relative Power
Main Harmonic,0.005875507794024127,0.016369940626516536,0.5538699235784506
Main Harmonic,0.005842848559311996,0.020502043922382286,0.6936778672305004
Main Harmonic,0.005812741193161534,0.010316521963705923,0.3490550981215823
Main Harmonic,0.005783424601952281,0.016030562627257956,0.5423872144592081
Main Harmonic,0.005747251623222433,0.02146107891938485,0.7261264052318203
Main Harmonic,0.005718118936181081,0.020273440777028636,0.6859431778058044
Main Harmonic,0.005688813584595713,0.020467775770050833,0.6925184189865494
Main Harmonic,0.0056407096259757225,0.020813239417168408,0.7042070333922854
Main Harmonic,0.005586206177408542,0.02464425021757657,0.8338276415338445
Main Harmonic,0.00555578588354508,0.015597843362891967,0.5277463436488957
Main Harmonic,0.005514933299830389,0.022708030256499707,0.7683164691759201
Main Harmonic,0.005475541308574951,0.01799788362238971,0.6089506769718867
Main Harmonic,0.005442679362655497,0.013483044415381633,0.45619302783881943
Main Harmonic,0.005412108774467029,0.02162786180759991,0.7317694327575422
Main Harmonic,0.005366476274735998,0.029555568789064037,1.0
Main Harmonic,0.0053351117753309505,0.011821737325063657,0.39998341461247267
Main Harmonic,0.005307764002618732,0.020586962130136735,0.696551038386857
Main Harmonic,0.005268464027880462,0.017187457368469966,0.5815302520866916
Main Harmonic,0.005225408783371723,0.02317666093103312,0.7841723871546266
Main Harmonic,0.005195861549854832,0.02186129053987431,0.7396673938470535
Main Harmonic,0.005169148853276297,0.02201373261570578,0.7448252061334432
Main Harmonic,0.005132057361005915,0.015265575138747114,0.5165041907227848
Main Harmonic,0.005107686689406532,0.020108311782812596,0.6803561090745425
Main Harmonic,0.005076293007821032,0.018168996433166492,0.6147402055713193
Main Harmonic,0.005050241075545978,0.024213879569925652,0.8192662351632738
Main Harmonic,0.005025911160390917,0.010205412286603538,0.34529574982768324
Main Harmonic,0.005003257431138751,0.020115094842093277,0.6805856109775202
Main Harmonic,0.0049786623575345966,0.0186516011219565,0.6310689283319713
Main Harmonic,0.004954661736001848,0.012268750203604547,0.4151079037309595
Main Harmonic,0.004930190576191008,0.024817318913870814,0.839683346681305
Main Harmonic,0.004893329663921355,0.01565936502777587,0.5298279028069339
Main Harmonic,0.004857866098493097,0.02805265509265808,0.9491495593560677
Main Harmonic,0.004834507921849216,0.00994060173883363,0.3363359984637409
