Harmonic,Period,Power,Relative Power
Main Harmonic,0.4865336499364185,0.015982707692112297,1.0
Harmonic 1,0.24278459476378855,0.005911357336626081,0.36985956638269896
Harmonic 2,0.16213060820555558,0.0068105376439708725,0.4261191392076809
Harmonic 3,0.12159352556631181,0.002464149753765161,0.15417598827645804
Harmonic 4,0.09720399248671259,0.003744691781371452,0.23429645673989977
Harmonic 5,0.08101168333005286,0.005088026250523469,0.3183456988977209
Harmonic 7,0.060766598307792415,0.0025809544670809476,0.1614841813289676
