Harmonic,Period,Power,Relative Power
Main Harmonic,0.2741931925058101,0.000962562165432511,1.0
Harmonic 1,0.13625341650987524,0.0003157858506103786,0.3280680063593457
Harmonic 2,0.09113615184895782,0.0003015232071050904,0.31325063246133933
Harmonic 3,0.07251575973105055,0.00022946210731947264,0.23838679262483553
Harmonic 3,0.0669616036177202,0.00030345263161034585,0.31525509988645206
Harmonic 4,0.058900866951648485,0.0002964726616655071,0.30800365141330077
Harmonic 4,0.055208679496766805,0.00020489298975077207,0.21286208528537673
Harmonic 4,0.05123569059236498,0.00033602336184685897,0.34909263413223035
Harmonic 5,0.04775773563527556,0.000263480941027696,0.2737287527910525
Harmonic 5,0.04519795609889638,0.0002862451276571221,0.2973783283165952
Harmonic 5,0.042439261339928494,0.0002001389668807943,0.20792315973780795
Harmonic 6,0.042439261339928494,0.0002001389668807943,0.20792315973780795
Harmonic 6,0.03995762759144256,0.0003340774115988384,0.3470709982131142
Harmonic 6,0.03818665700278835,0.00025978916237757874,0.26989338632569965
Harmonic 6,0.03555989416671531,0.00028664335250099665,0.29779204169343004
Harmonic 7,0.03555989416671531,0.00028664335250099665,0.29779204169343004
Harmonic 7,0.03283028286667508,0.0002653426496400515,0.2756628705854279
Harmonic 7,0.031022859734531907,0.0002577551726842345,0.26778028676040533
