Harmonic,Period,Power,Relative Power
Main Harmonic,0.8453472198089768,0.0016844435008771493,1.0
Harmonic 2,0.26407165579003145,0.0008056964903494681,0.4783161263229746
Harmonic 4,0.15609172314517766,0.0005748359276890522,0.34126162580681085
Harmonic 5,0.1353209741015911,0.0008083191702522976,0.4798731271374654
Harmonic 6,0.11531201736902166,0.0006181356115273189,0.3669672572605931
Harmonic 7,0.11531201736902166,0.0006181356115273189,0.3669672572605931
Harmonic 7,0.10298090233010258,0.0008165638425429384,0.48476772424704345
