Harmonic,Period,Power,Relative Power
Main Harmonic,0.863588333404614,0.0006219235680463972,1.0
Harmonic 1,0.44656651566226296,0.00026774487562272227,0.43051090098381317
Harmonic 2,0.3128729861617773,0.0005106063798662339,0.8210114652354537
Harmonic 4,0.18687734065121467,0.000464690511270058,0.7471826686513202
Harmonic 5,0.15251053013141735,0.00042816224809185386,0.6884483401019975
Harmonic 5,0.1321308051626768,0.00045149242726028776,0.7259612763647594
Harmonic 6,0.1321308051626768,0.00045149242726028776,0.7259612763647594
Harmonic 6,0.11762219946485836,0.0003348867374330743,0.5384692824634857
Harmonic 7,0.11762219946485836,0.0003348867374330743,0.5384692824634857
Harmonic 7,0.0979863367491369,0.00035286821991880517,0.5673819711114088
