Harmonic,Period,Power,Relative Power
Main Harmonic,0.420277123474912,0.001344573946364401,1.0
Harmonic 1,0.2194096039541029,0.0004049434511295611,0.3011685985917616
Harmonic 2,0.13547014628646842,0.00030976212211360524,0.23037938742690375
Harmonic 3,0.11082533911097016,0.0003111356717596237,0.23140093752441412
Harmonic 4,0.08320593023817498,0.00037599542294669346,0.27963908118504677
Harmonic 5,0.07169626268621053,0.00028283450609614425,0.21035251118832224
Harmonic 5,0.0663658143516934,0.0003299526040860371,0.24539565486762352
Harmonic 6,0.06006991490652457,0.00030297352000740395,0.2253305002871841
Harmonic 6,0.05665451506317853,0.00028198598279628007,0.20972143894260567
Harmonic 7,0.05665451506317853,0.00028198598279628007,0.20972143894260567
Harmonic 7,0.05150172487881309,0.0003238795288966879,0.24087892657181634
Harmonic 7,0.049082831132299574,0.0002861281523849707,0.21280209478893578
