Harmonic,Period,Power,Relative Power
Main Harmonic,0.8545676141860513,0.0015191636866755773,1.0
Harmonic 1,0.4248388248442751,0.0005382253974580373,0.35429058907789523
Harmonic 2,0.28511728895829186,0.00030486074351625063,0.2006766921761965
Harmonic 3,0.21420787758327586,0.00035496195284332794,0.23365615960719793
Harmonic 4,0.16827979743511853,0.00028081994264802666,0.18485166879057763
Harmonic 5,0.1298850895231845,0.00024899705269649993,0.16390403146180132
Harmonic 6,0.1298850895231845,0.00024899705269649993,0.16390403146180132
Harmonic 6,0.11452155096729971,0.00027104912205119347,0.1784199585788789
Harmonic 7,0.11452155096729971,0.00027104912205119347,0.1784199585788789
Harmonic 7,0.09617104659708071,0.000301296250795661,0.19833034019855678
