Harmonic,Period,Power,Relative Power
Main Harmonic,0.4188644313279529,0.0006144315242493696,1.0
Harmonic 1,0.2222647252571425,0.00026726965891092023,0.43498689172472815
Harmonic 2,0.13428377962732055,0.0001974256627570958,0.3213143449927705
Harmonic 3,0.10565292401654024,0.0003059036640511088,0.49786453327703367
Harmonic 4,0.09102751904750207,0.00024789851029177127,0.4034599471350702
Harmonic 4,0.08342022696396052,0.0003043423629148037,0.4953234834208882
Harmonic 4,0.07626697226384749,0.0002006303547488094,0.3265300474188931
Harmonic 5,0.07626697226384749,0.0002006303547488094,0.3265300474188931
Harmonic 5,0.07103478149003678,0.00026388343751515705,0.42947574644307934
Harmonic 5,0.06458684233902216,0.00026364556498037706,0.42908860397822846
Harmonic 6,0.06458684233902216,0.00026364556498037706,0.42908860397822846
Harmonic 6,0.060503077389753974,0.00024988567898670473,0.4066941052413964
Harmonic 6,0.056649456158610015,0.00031480377777055933,0.5123496522336554
Harmonic 7,0.056649456158610015,0.00031480377777055933,0.5123496522336554
Harmonic 7,0.05371089874349011,0.00025252176045028463,0.41098438228536854
Harmonic 7,0.049267173435241736,0.0003106010907715793,0.5055096923144206
