Harmonic,Period,Power,Relative Power
Main Harmonic,0.26838712076355914,0.004666159189790765,1.0
Harmonic 1,0.13403562976975575,0.0012160578580836334,0.2606121670139939
Harmonic 2,0.08937894730012953,0.0011468552880462906,0.24578143209420095
Harmonic 3,0.06707446187387824,0.0013579511936987591,0.29102118861908155
Harmonic 4,0.053658379611179426,0.0013878127553206287,0.29742079060591575
Harmonic 5,0.04471465531823395,0.0009531972213732662,0.20427876174023296
Harmonic 6,0.038326442717059345,0.0008292643404005011,0.17771882755626392
