Harmonic,Period,Power,Relative Power
Main Harmonic,0.42009625860966876,0.0010814451335502354,1.0
Harmonic 1,0.1948791115860602,0.0002614562908599128,0.24176565481559642
Harmonic 2,0.15225499354601477,0.0003245537850969984,0.3001111892117292
Harmonic 2,0.13433240480941086,0.00017346399715288736,0.16040018284000127
Harmonic 3,0.11473731291522518,0.00025739082173122037,0.238006361807965
Harmonic 3,0.09739918093544214,0.00025875362923414116,0.23926653438689824
Harmonic 4,0.08922228422306054,0.000248579328734862,0.229858474575414
Harmonic 4,0.08216625751202121,0.00023285769695816885,0.21532086070213208
Harmonic 5,0.07431545173780665,0.00017772385117928005,0.16433922134897136
Harmonic 5,0.06528917506558203,0.00022098646295296278,0.2043436658016063
Harmonic 6,0.06528917506558203,0.00022098646295296278,0.2043436658016063
Harmonic 6,0.061293769361818004,0.00023400339069333415,0.21638027065241233
Harmonic 6,0.057783138875945494,0.00026171649781205845,0.24200626522112983
Harmonic 7,0.05327264467721267,0.0001753725198563369,0.1621649720505127
Harmonic 7,0.05012700866396996,0.00023569880734630876,0.21794800312480211
Harmonic 7,0.048050931827549354,0.0003388244730762998,0.31330713187823567
