Harmonic,Period,Power,Relative Power
Main Harmonic,0.08862381070150017,0.002351517556543813,1.0
Harmonic 1,0.04780059422192072,0.0005182635279320375,0.22039534703443384
Harmonic 1,0.044302225740668395,0.0009758930649540003,0.41500564698667936
Harmonic 1,0.042353819662715564,0.0004633221701453639,0.1970311337272516
Harmonic 2,0.031062567638457283,0.0005208275128972944,0.22148570035036882
Harmonic 2,0.029539529440933535,0.000416389333976443,0.1770726026763921
Harmonic 2,0.02728255795251956,0.00043819834716796494,0.1863470446769767
Harmonic 3,0.02422538182939184,0.0004035557763993038,0.1716150386699377
Harmonic 3,0.02341331396718207,0.0004901646031077716,0.20844607421438954
Harmonic 3,0.021721037781326072,0.0004388947913839813,0.18664321266180772
Harmonic 3,0.020780098783861247,0.00047424857371045043,0.20167766657353228
Harmonic 3,0.020282758875278546,0.0003999056916468537,0.1700628134942027
Harmonic 4,0.01931799542969131,0.0004024377670947455,0.17113959705503368
Harmonic 4,0.01882870575225323,0.0004143098057709956,0.17618826813265864
Harmonic 4,0.018443519484544996,0.00042510556433702785,0.18077924323977185
Harmonic 4,0.018076347172721993,0.0003721195907132268,0.15824657131633607
Harmonic 4,0.017733398620146952,0.0004219846650628902,0.1794520580501683
Harmonic 4,0.017381803982855295,0.0003664900603831114,0.1558525724646373
Harmonic 4,0.01648469294959127,0.0003811097503285053,0.16206970229414258
Harmonic 5,0.015939018305157083,0.000394361295443683,0.16770501855121292
Harmonic 5,0.015486578927503498,0.0004116396519448303,0.17505276573390566
Harmonic 5,0.014996935178761583,0.00044520735778833025,0.18932767758820485
Harmonic 5,0.014695275740629964,0.0004178561636642833,0.17769638270463745
Harmonic 5,0.014325963370475581,0.00039150852829954733,0.16649185850645928
Harmonic 5,0.013809284716357085,0.00044949427553054455,0.19115072063982258
Harmonic 6,0.013809284716357085,0.00044949427553054455,0.19115072063982258
Harmonic 5,0.013550214529447518,0.0004274947956121941,0.18179528127381395
Harmonic 6,0.013550214529447518,0.0004274947956121941,0.18179528127381395
Harmonic 6,0.013005398591119495,0.0004136732571241477,0.1759175711756759
Harmonic 6,0.012825631411551163,0.00039328188842127637,0.1672459928384757
Harmonic 6,0.012538463216899111,0.000454558332052615,0.19330424762837436
Harmonic 6,0.01224733102855295,0.0004388277181797088,0.18661468929225608
Harmonic 6,0.012072857238114295,0.0003739488023254955,0.15902445690225414
Harmonic 7,0.012072857238114295,0.0003739488023254955,0.15902445690225414
Harmonic 7,0.011364808056206462,0.00035380816714572136,0.1504595048253595
Harmonic 7,0.011131926177572674,0.0003883580789924957,0.1651521069497318
Harmonic 7,0.010980953815270452,0.00045662022769457877,0.19418108379582116
Harmonic 7,0.010781645101686183,0.0003754561804702256,0.15966548045767492
Harmonic 7,0.010255408805461191,0.0003592193186016227,0.15276063646728288
Harmonic 7,0.010032031845113028,0.00043322567987720204,0.18423238162590785
