,TIC,Sectors
0,TIC 237883499,68
1,TIC 237883499,69
2,TIC 262874398,68
3,TIC 262874398,61
4,TIC 262874398,69
5,TIC 262874398,64
6,TIC 33736757,68
7,TIC 33736757,67
8,TIC 33736757,66
9,TIC 33736757,65
10,TIC 33736757,61
11,TIC 33736757,69
12,TIC 33736757,63
13,TIC 33736757,62
14,TIC 33736757,64
